provinsi,kabupaten,kecamatan,ruas_jalan_m,lokasi,jenis_perlengkapan_jalan,koordinat_awal_longtitude,koordinat_awal_latitude,sumber_dana,posisi_jalan,jenis_jalan,jumlah_titik_unit,Kategori_eksisting
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Timur Simpang Tiga Sumber Jambe Betek, Ds. Betek",R. Banyak Tikungan Pertama ke Kanan,755832,11326214,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Timur Simpang Tiga Sumber Jambe Betek, Ds. Betek",R. Banyak Tikungan Pertama ke Kanan,755985,11326239,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Timur Simpang Tiga Sumber Jambe Betek, Ds. Betek",R. Banyak Tikungan Pertama ke Kanan,756379,11326363,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Utara Pasar Jlenjeng Kerto Suko, Ds. Kerto Suko",R. Banyak Tikungan Pertama ke Kanan,756507,11326390,APBD 2019,BARAT,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Utara Pasar Jlenjeng Kerto Suko, Ds. Kerto Suko",R. Hati Hati,756693,11326528,APBD 2019,TIMUR,Kabupaten,1,Rusak
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Utara SDN. 2 Kerto Suko, Ds. Kerto Suko",R. Banyak Anak,756713,11326531,APBD 2019,TIMUR,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Depan SDN. 2 Kerto Suko, Ds. Kerto Suko",R. Tipe Y.,756739,11326536,APBD 2019,TIMUR,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Depan SDN. 2 Kerto Suko, Ds. Kerto Suko",R. Banyak Anak,756754,11326533,APBD 2019,BARAT,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Depan Pasar Jlenjeng Kerto Suko, Ds. Kerto Suko",R. Hati Hati,756777,11326536,APBD 2019,BARAT,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Selatan Pasar Jlenjeng Kerto Suko, Ds. Kerto Suko",R. Tipe Y.,756807,11326539,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"ST. Sumber Jambe, Ds. Betek - Barat Pasar Jlenjeng, Ds.Kerto Suko",MARKA TENGAH 2830 m,755397,11325984,DAU 2020,TENGAH,Kabupaten,,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Perbatasan Segaran, Tiris Kerto Suko - Barat Pasar Jlenjeng Kerto Suko",MARKA TENGAH 1388 m,756855,11325887,DAU 2020,TENGAH,Kabupaten,,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"ST. Sumber Jambe, Ds. Betek - Ruas Jalan Betek arah Krucil, Ds. Betek",MARKA TENGAH 4300 m,755397,11325984,DAU 2020,TENGAH,Kabupaten,,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Ruas Jalan Betek arah Krucil - Ruas Jalan Betek arah Tiris,MARKA TENGAH 5400 m,753611,11324792,DAU 2020,TENGAH,Kabupaten,,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,"Ruas Jalan Betek arah Tiris - Perbatasan Segaran Tiris, Kerto Suko",MARKA TENGAH 3000 m,755983,11326243,DAU 2020,TENGAH,Kabupaten,,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 1",755307,11325948,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,ST. Betek Krucil,Kwh meter,755307,11325948,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Barat ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 2",755326,11325958,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Barat ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 3",755347,11325966,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Barat ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 4",755367,11325972,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 5",755388,11325979,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 6",755400,11325997,APBD 2022,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Utara ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 7",755412,11326014,APBD 2022,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Timur ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 8",755408,11325988,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Timur ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 9",755431,11325996,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Timur ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 10",755451,11326001,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Timur ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 11",755473,11326005,APBD 2022,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Perbatasan Condong Betek - Perbatasan Suko Kerto Segaran Tiris,Timur ST. Betek Krucil,"PJU Jaringan Tersambung Kwh meter, 12",755495,11326010,APBD 2022,UTARA,Kabupaten,1,Baik
,,,,,,,,,,,,
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Simpang tiga Betek, Ds. Betek",PJU Jaringan langsung,755408,11326000,,TIMUR,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kanan,755487,11326119,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kiri,755488,11326126,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Banyak Tikungan Pertama ke Kiri,755591,11326175,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Banyak Tikungan Pertama ke Kanan,755719,11326302,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Tanjakan,755805,11326433,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Banyak Tikungan Pertama ke Kiri,755810,11326438,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,PJU TENAGA SURYA,755859,11326532,,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,PJU TENAGA SURYA,755881,11326586,,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,GUARDRAILL 144 m,793180,11344331,APBD 2004,SELATAN,Kabupaten,,Rusak
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,PJU TENAGA SURYA,755945,11326635,,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kiri,755950,11326646,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kanan,755951,11326650,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,792942,11344096,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,792942,11344096,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,792942,11344096,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,792942,11344096,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,792942,11344096,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,792942,11344096,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,793231,11344021,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,793231,11344021,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,792942,11344096,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",Pos Pagar (Patok) Guardraill,793191,11344691,APBD 2004,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kiri,755944,11326655,APBD 2019,KANAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kanan,755940,11326660,APBD 2019,KANAN,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kanan,755918,11326638,APBD 2019,KIRI,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kiri,755915,11326638,APBD 2019,KIRI,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kanan,755904,11326644,APBD 2019,KIRI,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Cevron ke kiri,755902,11326646,APBD 2019,KIRI,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Banyak Tikungan Pertama ke Kiri,755919,11326684,APBD 2019,KANAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Turunan,755925,11326706,APBD 2019,KANAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Banyak Tikungan Pertama ke Kiri,755971,11326977,APBD 2019,KIRI,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,Arah menuju pesanggrahan Bermi desa Betek,R. Banyak Tikungan Pertama ke Kiri,755973,11327180,APBD 2019,KANAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"SMPN. 1 Krucil, Ds. Krucil",R. Hati Hati,755977,11327258,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"SMPN. 1 Krucil, Ds. Krucil",R. Banyak Anak,755985,11327288,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur  SMPN. 1 Krucil, Ds. Krucil",R. Banyak Anak,755007,11327347,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur  SMPN. 1 Krucil, Ds. Krucil",R. Hati Hati,756030,11327360,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur  SMPN. 1 Krucil, Ds. Krucil",R. Banyak Tikungan Pertama ke Kanan,756055,11327422,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur  SMPN. 1 Krucil, Ds. Krucil",R. Banyak Tikungan Pertama ke Kanan,756179,11327507,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur  SMPN. 1 Krucil, Ds. Krucil",R. Tikungan ke kiri,756188,11327513,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur  SMPN. 1 Krucil, Ds. Krucil",R. Hati Hati,756265,11327567,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Barat Kantor desa Krucil, Ds. Krucil",R. Penyeberangan Orang,756275,11327594,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur Kantor desa Krucil, Ds. Krucil",R. Penyeberangan Orang,756262,11327622,APBD 2019,SELATAN,Kabupaten,1,Baik
