provinsi,kabupaten,kecamatan,ruas_jalan_m,lokasi,jenis_perlengkapan_jalan,koordinat_awal_longtitude,koordinat_awal_latitude,sumber_dana,posisi_jalan,jenis_jalan,jumlah_titik_unit,Kategori_eksisting
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Selatan Pasar Krucil, Ds. Krucil",R. Hati Hati,756336,11328378,APBD 2013,BARAT,Kabupaten,1,Rusak
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Selatan Pasar Krucil, Ds. Krucil",PJU Jaringan Langsung PLN,756356,11328408,,TENGAH,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Kantor Kec. Krucil, Ds. Krucil",R. Hati Hati,756545,11328486,APBD 2019,TIMUR,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Kantor Kec. Krucil, Ds. Krucil",R. Penyeberangan Orang,756560,11328482,APBD 2019,TIMUR,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Kantor Kec. Krucil, Ds. Krucil",PJU Jaringan Langsung PLN,756564,11328485,Pemeliharaan 2019,TIMUR,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Kantor Kec. Krucil, Ds. Krucil",R. Banyak Anak,756565,11328488,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan, Utara Kantor Kec. Krucil, Ds. Krucil",PJU Jaringan Langsung PLN,756573,11328490,,BARAT,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Kantor Kec. Krucil, Ds. Krucil",PJU Jaringan Langsung PLN,756582,11328498,,BARAT,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan, Selatan Kantor Kec. Krucil, Ds. Krucil",PJU Jaringan Langsung PLN,756591,11328501,,BARAT,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Kantor KUA Krucil, Ds. Krucil",R. Puskesmas,756585,11328504,APBD 2019,TIMUR,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan puskesmas Krucil, Ds. Krucil",R. Hati Hati,794335,11347520,( APBD  2013 ),SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"SDN. Krucil 1, Ds. Krucil",R. Banyak Anak,794364,11347542,( APBD  2013 ),SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan SDN. 1 Krucil, Ds. Krucil",R. Puskesmas,756630,11328530,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"SDN. Krucil 1, Ds. Krucil",R. Banyak Anak,794421,11347578,( APBD  2013 ),UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"SDN. Krucil 1, Ds. Krucil",R. Hati Hati,794444,11347597,( APBD  2013 ),UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan SDN. 1 Krucil, Ds. Krucil",R. Banyak Anak,756649,11328544,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Selatan SDN. 1 Krucil, Ds. Krucil",R. Hati Hati,756666,11328555,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Selatan KUD Susu Krucil, Ds. Krucil",PJU TENAGA SURYA,757039,11328900,PAK APBD 2019,BARAT,Kabupaten,1,Rusak
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Selatan KUD Susu Krucil, Ds. Krucil",PJU TENAGA SURYA,757028,11328903,PAK APBD 2019,BARAT,Kabupaten,1,Rusak
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Selatan KUD Susu Krucil, Ds. Krucil",R. Banyak Tikungan Pertama ke Kiri,757039,11328900,APBD 2019,BARAT,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Kantor desa Bermi, Ds. Bermi",RPPJ,757417,11329317,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Kantor desa Bermi, Ds. Bermi",R. Hati Hati,757418,11329322,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan SDN. 1 Bermi, Ds. Bermi",R. Banyak Anak,757438,11329337,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Selatan SDN. 1 Bermi, Ds. Bermi",R. Banyak Anak,757486,11329347,APBD 2019,TIMUR,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Simpang Tiga Bermi, Ds. Bermi",R. ST. ke kiri,757509,11329367,APBD 2019,TIMUR,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Simpang Tiga Bermi, Ds. Bermi",R. Banyak Tikungan Pertama ke Kiri,757517,11329367,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Jalan Raya Betek blok Kemirian, Ds. Betek",GUARDRAILL 100 m,755853,11326523,PUPR APBD 2023,BARAT,Kabupaten,,Baik
